,Tesco,right_side,similairity
0,Pantene Smooth & Sleek Shampoo & Conditioner 3In1 450Ml,Head and Shoulders Itchy Scalp Anti Dandruff 2in1 Shampoo 450ml,0.10517755706995678
0,L'oreal Elvive Clay Oily Roots Shampoo 500Ml,Head and Shoulders Classic Clean Anti Dandruff Shampoo 500ml,0.14268994137763186
0,Batiste Heavenly Volume Dry Shampoo 200Ml,Batiste Dry Cherry Shampoo  200ml,0.4859728382707285
0,Aussie Beach Mate Shampoo Limited Edition 300Ml,"Aussie Colour Mate Shampoo For Vibrant, Coloured Hair 300ml",0.16973775036520627
0,John Frieda Luxurious Volume Colour Care Shampoo 250Ml,John Frieda Luxurious Volume Thickening Shampoo 250ml,0.662336447626047
0,Aussie Miracle Moist Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.5743426600539284
0,Hask Keratin Protein Shampoo 355Ml,,0.0
0,Aussie Colour Mate Shampoo 300Ml,"Aussie Colour Mate Shampoo For Vibrant, Coloured Hair 300ml",0.7072038906591802
0,Neutrogena T/Gel 2 In 1 Dandruff Shampoo 250Ml,Neutrogena T/Gel Therapeutic Shampoo 250ml,0.5324908069015977
0,Ogx Keratin Oil Anti-Breakage Shampoo 385Ml,Ogx Brazillian Keratin Smooth Shampoo  385ml,0.2937275253001508
0,Maui Moisture Shea Butter Shampoo 385Ml,Maui Moisture Revive & Hydrate Shea Butter Shampoo  385ml,0.721440984911611
0,Girlz Only Dry Shampoo Volume 200Ml,Batiste Dry Cherry Shampoo  200ml,0.24881574311607974
0,Just For Men Ctrl Gx Dandruff Shampoo 147Ml,,0.0
0,L'oreal Paris Elvive Colour Protect Low Shampoo 400 Ml,L'Or̩al Elvive Colour Protect Shampoo  400ml,0.7222837488336955
0,L'oreal Elvive Clay Oily Roots Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.12101260904101163
0,Tresemme Moisture Rich Luxurious Shampoo 500Ml,Head & Shoulders Citrus Fresh Anti-Dandruff Shampoo 500ml,0.1062780844896182
0,Ogx Hydrating Argan Extra Shampoo 385Ml,Ogx Brazillian Keratin Smooth Shampoo  385ml,0.19471232136247438
0,Ogx Kukui Oil Defrizz Shampoo 385 Ml,Ogx Fade - Defying + Orchid Oil Shampoo 385ml,0.23922246716337076
